year,id,inv_w1,inviapply_w1,dige_w1,lerner_w1,bsize_w1,post_w1,bodi_w1,age_w1,fixpro_w1,exp_w1,flows_w1,subsidies_w1,profit_w1,industrycode,hyid,yb
2016,41,5.65249,4.43082,2.946779,0.136328,2.19722,0,0.333333,3.17805,0.096269,0.037691,0.078784,0.385966,10.1235,C38,20,23
2017,41,6.12468,5.22575,3.053353,0.0378,2.19722,0,0.333333,3.21888,0.090181,0.029584,-0.034552,0.466841,8.64144,C38,20,23
2007,42,3.4012,1.94591,0.2011766,0.705294,2.07944,0,0.375,2.70805,0.290788,0.12965,0.022956,0.122604,9.78946,C27,9,51
2008,42,2.19722,2.07944,0.2487143,0.613247,2.19722,0,0.333333,2.77259,0.258807,0.113137,0.029681,0.410421,9.35847,C27,9,51
2009,42,2.89037,2.56495,1.27491,0.567513,2.07944,0,0.375,2.83321,0.229953,0.120724,0.101914,0.401175,9.37261,C27,9,51
2010,42,2.63906,2.63906,1.501882,0.829749,2.07944,0,0.375,2.89037,0.211772,0.112458,0.107097,0.452579,10.1546,C27,9,51
2011,42,3.21888,2.63906,1.585587,0.909929,2.19722,0,0.333333,2.94444,0.205388,0.113633,0.08703,0.391482,10.3991,C27,9,51
2012,42,3.13549,2.83321,1.534576,1.07258,2.19722,0,0.333333,2.99573,0.18828,0.115095,0.14717,0.328431,10.6924,C27,9,51
2007,43,0,0,0.2011766,0.290091,1.94591,0,0.428571,3.3322,0.237394,0.064594,-0.035352,0.222537,7.48811,C26,8,51
2008,43,0,0,0.2487143,0.160511,1.94591,0,0.428571,3.3322,0.24772,0.055182,0.045796,0.573989,6.81219,C26,8,51
2009,43,0,0,1.341676,0.227457,1.94591,0,0.428571,3.3322,0.204516,0.058856,0.096657,0.150778,7.31565,C26,8,51
2010,43,1.09861,1.09861,1.501882,0.146344,1.94591,0,0.428571,3.3322,0.154975,0.048017,0.06067,0.280175,7.40873,C26,8,51
2011,43,0,0,1.706168,0.147496,1.94591,0,0.428571,3.3322,0.09353,0.036395,-0.058064,0.264917,7.84812,C26,8,51
2012,43,0.693147,0.693147,1.967075,0.107759,1.94591,0,0.428571,3.3322,0.071435,0.022452,-0.015221,0.268435,7.90474,C26,8,51
2013,43,0,0,2.324085,0.157464,1.94591,0,0.428571,3.3322,0.197827,0.023096,0.049821,0.292443,8.18684,C26,8,51
2014,43,0.693147,0.693147,2.623518,0.168348,1.94591,0,0.428571,3.3322,0.151932,0.017394,-0.015141,0.104351,8.47794,C26,8,51
2015,43,1.38629,1.38629,2.845115,0.112579,1.94591,0,0.428571,3.3322,0.126531,0.012291,-0.011636,0.179703,8.17679,C26,8,51
2016,43,1.38629,0.693147,3.471886,0.102986,1.94591,0,0.428571,3.3322,0.111213,0.012291,-0.137731,0.280165,8.59502,C26,8,51
2017,43,2.83321,2.19722,3.728721,0.086896,1.94591,0,0.428571,3.3322,0.090944,0.012291,-0.033187,0.538891,8.44751,C26,8,51
2007,44,0,0,0.1052691,0.355362,2.19722,0,0.333333,2.77259,0.242708,0.017475,0.030967,1.61403,8.79642,C26,8,21
2008,44,0,0,0.1342241,0.387639,2.19722,0,0.555556,2.83321,0.21463,0.02369,-0.044424,1.86493,8.58297,C26,8,21
2009,44,0,0,1.066566,0.169348,2.19722,0,0.555556,2.89037,0.215375,0.024132,0.05874,0.894477,7.22571,C26,8,21
2010,44,1.60944,1.60944,0.2257969,0.147274,2.19722,0,0.555556,2.94444,0.231236,0.028571,-0.021227,0.990929,1.47151,C26,8,21
2011,44,3.43399,2.77259,1.305823,0.273172,2.19722,0,0.555556,2.99573,0.252183,0.021604,0.014357,0.840925,9.1919,C26,8,21
2012,44,4.52179,4.52179,1.733595,0.692926,2.19722,0,0.333333,3.04452,0.192874,0.023561,0.031953,0.71695,10.5171,C26,8,21
2013,44,5.14749,5.05625,1.789492,0.939901,2.19722,0,0.333333,3.09104,0.245084,0.029473,0.099435,0.489217,10.7427,C26,8,21
2014,44,4.75359,4.68213,1.389509,1.07378,2.19722,0,0.333333,3.13549,0.27768,0.039764,0.072925,0.574928,10.8116,C26,8,21
2015,44,5.16479,5.05625,2.450161,0.446942,2.19722,0,0.333333,3.17805,0.38834,0.053008,0.029874,0.74052,9.8638,C26,8,21
2016,44,5.52146,5.47646,2.341129,0.630195,2.19722,0,0.333333,3.21888,0.293575,0.073504,0.025328,0.777288,9.77907,C26,8,21
2017,44,5.50533,5.45532,2.566585,1.91179,2.19722,0,0.333333,3.2581,0.336146,0.08184,0.042835,0.930833,11.3698,C26,8,21
2007,45,5.35186,2.3979,0.2011766,0.56622,2.19722,0,0.333333,2.70805,0.18617,0.031502,0.094281,0.357183,12.1387,C38,20,51
2008,45,6.1203,4.15888,0.2487143,0.516983,2.19722,0,0.333333,2.77259,0.21486,0.038077,0.160491,0.239511,12.0757,C38,20,51
2009,45,6.20658,4.43082,0.3019554,0.615957,2.19722,1,0.333333,2.83321,0.179863,0.035115,0.06496,0.793757,12.5255,C38,20,51
2010,45,6.70564,5.25227,0.3505896,0.380656,2.19722,1,0.333333,2.89037,0.182439,0.035718,0.129493,4.09493,13.115,C38,20,51
2011,45,6.82002,5.97889,2.034557,0.612975,2.19722,1,0.333333,2.94444,0.179929,0.034273,0.049688,0.895623,13.2286,C38,20,51
2012,45,6.82002,5.97889,2.040376,0.760103,2.19722,1,0.333333,2.99573,0.205703,0.053171,0.070715,0.505308,13.1375,C38,20,51
2007,46,2.19722,0.693147,0.0326741,0.938986,2.19722,0,0.333333,2.63906,0.137895,0.036391,0.069698,0.286539,11.1048,C35,17,53
2008,46,3.73767,0,0.0361132,0.53278,2.19722,0,0.333333,2.70805,0.151756,0.042198,-0.092946,0.528602,10.625,C35,17,53
2009,46,4.15888,2.56495,1.492121,1.08092,2.19722,0,0.333333,2.77259,0.135192,0.042703,0.160831,0.435796,11.5447,C35,17,53
2010,46,4.78749,3.09104,1.636086,1.25494,2.19722,0,0.333333,2.83321,0.095163,0.043802,0.036921,0.235089,12.132,C35,17,53
2011,46,4.65396,3.61092,1.364757,1.00668,2.19722,0,0.333333,2.89037,0.095758,0.046752,-0.088776,0.234031,11.97,C35,17,53
2012,46,5.31812,4.47734,0.8553423,0.441734,2.19722,0,0.333333,2.94444,0.116102,0.066803,0.02557,0.399759,10.4284,C35,17,53
2013,46,5.37528,4.7362,1.210163,0.749359,2.19722,0,0.333333,2.99573,0.138792,0.067222,0.048848,0.45591,10.6522,C35,17,53
